Title,Genre,Original Network,Premiere,Seasons,Length,Netflix Exclusive Regions,Status
Outer Banks,Coming-of-age,Netflix,"April 15, 2020","1 season, 10 episodes",46–56 min.,Worldwide,"Pending
"
Hollywood,Drama,Netflix,"May 1, 2020",7 episodes,44–57 min.,Worldwide,"Miniseries
"
The Eddy,Musical drama,Netflix,"May 8, 2020",8 episodes,54–69 min.,Worldwide,"Miniseries
"
White Lines,Drama,Netflix,"May 15, 2020","1 season, 10 episodes",50–63 min.,Worldwide,"Pending
"
Sweet Magnolias,Romance,Netflix,"May 19, 2020","1 season, 10 episodes",43–52 min.,Worldwide,"Pending
"
Blood & Water,Teen drama,Netflix,"May 20, 2020","1 season, 6 episodes",43–53 min.,Worldwide,Renewed
Homemade,Anthology series,Netflix,"June 30, 2020",17 episodes,"TBA
",Worldwide,"Miniseries
"
Warrior Nun,Fantasy,Netflix,"July 2, 2020","1 season, 10 episodes","TBA
",Worldwide,"Pending
"
Cursed,Fantasy,Netflix,"July 17, 2020","TBA
","TBA
",Worldwide,"Pending
"
Richie Rich,Sitcom,Netflix,"February 20, 2015","2 seasons, 21 episodes",21–23 min.,Worldwide,Ended
Unbreakable Kimmy Schmidt,Comedy,Netflix,"March 6, 2015","4 seasons, 52 episodes",23–53 min.,Worldwide,Ended
Grace and Frankie,Comedy-drama,Netflix,"May 8, 2015","6 seasons, 78 episodes",25–35 min.,Worldwide,Renewed for final season
Wet Hot American Summer: First Day of Camp,Satirical comedy,Netflix,"July 31, 2015",8 episodes,27–30 min.,Worldwide,"Miniseries
"
Project Mc,Comedy,Netflix,"August 7, 2015","6 parts, 26 episodes",22–34 min.,Worldwide,"Ended
"
Master of None,Comedy,Netflix,"November 6, 2015","2 seasons, 20 episodes",21–57 min.,Worldwide,"Ended
"
W/ Bob & David,Sketch comedy,Netflix,"November 13, 2015","1 season, 5 episodes",27–33 min.,Worldwide,"Ended
"
Love,Romantic comedy,Netflix,"February 19, 2016","3 seasons, 34 episodes",24–40 min.,Worldwide,Ended
Fuller House,Sitcom,Netflix,"February 26, 2016","5 seasons, 75 episodes",24–36 min.,Worldwide,Ended
Flaked,Comedy,Netflix,"March 11, 2016","2 seasons, 14 episodes",30–34 min.,Worldwide,Ended
Netflix Presents: The Characters,Sketch comedy,Netflix,"March 11, 2016","1 season, 8 episodes",27–38 min.,Worldwide,Ended
The Ranch,Sitcom,Netflix,"April 1, 2016","8 parts, 80 episodes",25–36 min.,Worldwide,Ended
Lady Dynamite,Comedy,Netflix,"May 20, 2016","2 seasons, 20 episodes",26–36 min.,Worldwide,Ended
Easy,Romantic comedy,Netflix,"September 22, 2016","3 seasons, 25 episodes",26–52 min.,Worldwide,Ended
Haters Back Off,Comedy,Netflix,"October 14, 2016","2 seasons, 16 episodes",24–36 min.,Worldwide,Ended
Trailer Park Boys Out of the Park: Europe,Mockumentary,Netflix,"October 28, 2016","1 season, 8 episodes",22–30 min.,Worldwide,"Ended
"
One Day at a Time,Sitcom,Netflix,"January 6, 2017","3 seasons, 39 episodes",25–35 min.,Worldwide,Ended
Santa Clarita Diet,Comedy horror,Netflix,"February 3, 2017","3 seasons, 30 episodes",26–35 min.,Worldwide,Ended
Mystery Science Theater 3000: The Return,Comic science fiction,Netflix,"April 14, 2017","2 seasons, 20 episodes",86–94 min.,Worldwide,Ended
Girlboss,Comedy,Netflix,"April 21, 2017","1 season, 13 episodes",24–29 min.,Worldwide,Ended
Dear White People,Satire,Netflix,"April 28, 2017","3 volumes, 30 episodes",21–36 min.,Worldwide,Renewed for final season
GLOW,Comedy,Netflix,"June 23, 2017","3 seasons, 30 episodes",27–46 min.,Worldwide,Renewed for final season
Friends from College,Comedy,Netflix,"July 14, 2017","2 seasons, 16 episodes",26–34 min.,Worldwide,Ended
Wet Hot American Summer: Ten Years Later,Satirical comedy,Netflix,"August 4, 2017",8 episodes,24–31 min.,Worldwide,"Miniseries
"
Atypical,Coming-of-age,Netflix,"August 11, 2017","3 seasons, 28 episodes",26–38 min.,Worldwide,Renewed for final season
Disjointed,Comedy,Netflix,"August 25, 2017","2 parts, 20 episodes",23–32 min.,Worldwide,Ended
American Vandal,Mockumentary,Netflix,"September 15, 2017","2 seasons, 16 episodes",26–42 min.,Worldwide,Ended
She's Gotta Have It,Comedy-drama,Netflix,"November 23, 2017","2 seasons, 19 episodes",32–38 min.,Worldwide,Ended
Trailer Park Boys Out of the Park: USA,Mockumentary,Netflix,"November 24, 2017","1 season, 8 episodes",23–35 min.,Worldwide,"Ended
"
Everything Sucks!,Coming-of-age,Netflix,"February 16, 2018","1 season, 10 episodes",23–27 min.,Worldwide,Ended
On My Block,Coming-of-age,Netflix,"March 16, 2018","3 seasons, 28 episodes",23–36 min.,Worldwide,"Pending
"
Alexa & Katie,Sitcom,Netflix,"March 23, 2018","4 seasons, 39 episodes",22–37 min.,Worldwide,Ended
All About the Washingtons,Comedy,Netflix,"August 10, 2018","1 season, 10 episodes",22–27 min.,Worldwide,Ended
Insatiable,Dark comedy-drama,Netflix,"August 10, 2018","2 seasons, 22 episodes",40–53 min.,Worldwide,Ended
The Good Cop,Police procedural,Netflix,"September 21, 2018","1 season, 10 episodes",43–49 min.,Worldwide,Ended
Maniac,Dark comedy,Netflix,"September 21, 2018",10 episodes,27–47 min.,Worldwide,"Miniseries
"
Best.Worst.Weekend.Ever.,Comedy,Netflix,"October 19, 2018",8 episodes,22–28 min.,Worldwide,"Miniseries
"
The Kominsky Method,Comedy,Netflix,"November 16, 2018","2 seasons, 16 episodes",22–34 min.,Worldwide,"Pending
"
Prince of Peoria,Sitcom,Netflix,"November 16, 2018","2 parts, 16 episodes",24–28 min.,Worldwide,"Ended
"
Sex Education,Comedy-drama,Netflix,"January 11, 2019","2 seasons, 16 episodes",47–59 min.,Worldwide,Renewed
Russian Doll,Comedy,Netflix,"February 1, 2019","1 season, 8 episodes",25–30 min.,Worldwide,Renewed
After Life,Comedy,Netflix,"March 8, 2019","2 seasons, 12 episodes",25–31 min.,Worldwide,Renewed
Turn Up Charlie,Comedy,Netflix,"March 15, 2019","1 season, 8 episodes",25–29 min.,Worldwide,Ended
Huge in France,Comedy,Netflix,"April 12, 2019","1 season, 8 episodes",28–34 min.,Worldwide,"Ended
"
Special,Comedy,Netflix,"April 12, 2019","1 season, 8 episodes",12–17 min.,Worldwide,Renewed
No Good Nick,Sitcom,Netflix,"April 15, 2019","2 parts, 20 episodes",26–32 min.,Worldwide,Ended
Lunatics,Comedy,Netflix,"April 19, 2019","1 season, 10 episodes",33–38 min.,Worldwide,"Ended
"
I Think You Should Leave with Tim Robinson,Sketch comedy,Netflix,"April 23, 2019","1 season, 6 episodes",16–18 min.,Worldwide,Renewed
Bonding,Dark comedy,Netflix,"April 24, 2019","1 season, 7 episodes",13–17 min.,Worldwide,Renewed
Dead to Me,Black comedy,Netflix,"May 3, 2019","2 seasons, 20 episodes",26–33 min.,Worldwide,"Pending
"
It's Bruno!,Comedy,Netflix,"May 17, 2019","1 season, 8 episodes",12–21 min.,Worldwide,"Ended
"
Malibu Rescue: The Series,Comedy,Netflix,"June 3, 2019","1 season, 8 episodes",22–26 min.,Worldwide,Renewed
Mr. Iglesias,Comedy,Netflix,"June 21, 2019","2 parts, 16 episodes",25–31 min.,Worldwide,"Pending
"
Family Reunion,Comedy,Netflix,"July 10, 2019","2 parts, 19 episodes",25–34 min.,Worldwide,Renewed
Team Kaylie,Sitcom,Netflix,"September 23, 2019","3 parts, 20 episodes",22-30 min.,Worldwide,"Pending
"
The Politician,Comedy,Netflix,"September 27, 2019","2 seasons, 15 episodes",28–62 min.,Worldwide,"Pending
"
Living with Yourself,Comedy-drama,Netflix,"October 18, 2019","1 season, 8 episodes",22–36 min.,Worldwide,"Pending
"
Daybreak,Dark comedy,Netflix,"October 24, 2019","1 season, 10 episodes",39–50 min.,Worldwide,Ended
Merry Happy Whatever,Comedy,Netflix,"November 28, 2019","1 season, 8 episodes",25–29 min.,Worldwide,Ended
Astronomy Club: The Sketch Show,Sketch comedy,Netflix,"December 6, 2019","1 season, 6 episodes",18–24 min.,Worldwide,Ended
AJ and the Queen,Comedy,Netflix,"January 10, 2020","1 season, 10 episodes",47–60 min.,Worldwide,Ended
Medical Police,Comedy,Netflix,"January 10, 2020","1 season, 10 episodes",21–29 min.,Worldwide,"Pending
"
The Healing Powers of Dude,Family comedy,Netflix,"January 13, 2020","1 season, 8 episodes",23-28 min.,Worldwide,"Pending
"
The Expanding Universe of Ashley Garcia,Comedy,Netflix,"February 17, 2020","1 part, 8 episodes",26-35 min.,Worldwide,"Pending
"
Gentefied,Comedy-drama,Netflix,"February 21, 2020","1 season, 10 episodes",25–31 min.,Worldwide,Renewed
I Am Not Okay with This,Coming-of-age comedy,Netflix,"February 26, 2020","1 season, 7 episodes",19–28 min.,Worldwide,"Pending
"
The Iliza Shlesinger Sketch Show,Sketch comedy,Netflix,"April 1, 2020","1 season, 6 episodes",18–20 min.,Worldwide,"Pending
"
The Big Show Show,Comedy,Netflix,"April 6, 2020","1 season, 8 episodes",25–28 min.,Worldwide,"Pending
"
Brews Brothers,Comedy,Netflix,"April 10, 2020","1 season, 8 episodes",26–30 min.,Worldwide,"Pending
"
#blackAF,Sitcom,Netflix,"April 17, 2020","1 season, 8 episodes",32–48 min.,Worldwide,Renewed
Never Have I Ever,Comedy,Netflix,"April 27, 2020","1 season, 10 episodes",22–30 min.,Worldwide,"Pending
"
Space Force,Comedy,Netflix,"May 29, 2020","1 season, 10 episodes",27–36 min.,Worldwide,"Pending
"
The Baby-Sitters Club,Dramedy,Netflix,"July 3, 2020","1 season, 10 episodes",29 min.,Worldwide,"Pending
"
BoJack Horseman,Black comedy,Netflix,"August 22, 2014","6 seasons, 77 episodes",25–27 min.,Worldwide,Ended
F is for Family,Sitcom,Netflix,"December 18, 2015","4 seasons, 36 episodes",25–29 min.,Worldwide,"Pending
"
Neo Yokio,Science fantasy,Netflix,"September 22, 2017","2 seasons, 7 episodes",20–65 min.,Worldwide,"Ended
"
Big Mouth,Coming-of-age,Netflix,"September 29, 2017","3 seasons, 31 episodes",25–46 min.,Worldwide,"Renewed for seasons 4, 5 and 6"
Disenchantment,Medieval fantasy,Netflix,"August 17, 2018","2 parts, 20 episodes",22–36 min.,Worldwide,Renewed for parts 3 and 4
Paradise PD,Comedy,Netflix,"August 31, 2018","2 parts, 18 episodes",26–30 min.,Worldwide,"Pending
"
Super Drags,Superhero,Netflix,"November 9, 2018","1 season, 5 episodes",23–26 min.,Worldwide,Ended
"Love, Death & Robots",Anthology,Netflix,"March 15, 2019","1 volume, 18 episodes",6–17 min.,Worldwide,Renewed
Trailer Park Boys: The Animated Series,Mockumentary,Netflix,"March 31, 2019","2 seasons, 20 episodes",23–26 min.,Worldwide,"Pending
"
Tuca & Bertie,Comedy,Netflix,"May 3, 2019","1 season, 10 episodes",25–26 min.,Worldwide,Ended
The Midnight Gospel,Science fantasy,Netflix,"April 20, 2020","1 season, 8 episodes",20–36 min.,Worldwide,"Pending
"
Castlevania,Dark fantasy,Netflix,"July 7, 2017","3 seasons, 22 episodes",22–31 min.,Worldwide,Renewed
Devilman Crybaby,Supernatural,Netflix,"January 5, 2018",10 episodes,24–28 min.,Worldwide,"Miniseries
"
B: The Beginning,Suspense,Netflix,"March 2, 2018","1 season, 12 episodes",25–27 min.,Worldwide,Renewed
A.I.C.O. -Incarnation-,Science fiction,Netflix,"March 9, 2018","1 season, 12 episodes",25–29 min.,Worldwide,"Ended
"
Sword Gai: The Animation,Supernatural,Netflix,"March 23, 2018","2 seasons, 24 episodes",22–23 min.,Worldwide,"Ended
"
Lost Song,Musical,Netflix,"March 31, 2018","1 season, 12 episodes",23–24 min.,Worldwide,"Ended
"
Aggretsuko,Comedy,Netflix,"April 20, 2018","2 seasons, 20 episodes",15–20 min.,Worldwide,Renewed
Baki,Martial arts,Netflix,"June 25, 2018","2 seasons, 39 episodes",23–24 min.,Worldwide,"Pending
"
Hero Mask,Crime,Netflix,"December 3, 2018","2 seasons, 24 episodes",25 min.,Worldwide,"Ended
"
Ultraman,Science fiction,Netflix,"April 1, 2019","1 season, 13 episodes",23–25 min.,Worldwide,Renewed
Rilakkuma and Kaoru,Stop motion,Netflix,"April 19, 2019","1 season, 13 episodes",11–14 min.,Worldwide,"Ended
"
7SEEDS,Science fiction,Netflix,"June 28, 2019","2 parts, 24 episodes",24–26 min.,Worldwide,"Pending
"
Knights of the Zodiac: Saint Seiya,Action,Netflix,"July 19, 2019","2 parts, 12 episodes",23 min.,Worldwide,"Pending
"
Kengan Ashura,Martial arts,Netflix,"July 31, 2019","2 parts, 24 episodes",24–27 min.,Worldwide,"Pending
"
Cannon Busters,Fantasy,Netflix,"August 15, 2019","1 season, 12 episodes",24–27 min.,Worldwide,"Pending
"
Seis Manos,Action,Netflix,"October 3, 2019","1 season, 8 episodes",25–28 min.,Worldwide,"Pending
"
Dino Girl Gauko,Children's,Netflix,"November 22, 2019","2 seasons, 39 episodes",9 min.,Worldwide,"Pending
"
Levius,Action,Netflix,"November 28, 2019","1 season, 12 episodes",24–27 min.,Worldwide,"Pending
"
The Disastrous Life of Saiki K.: Reawakened,Supernatural,Netflix,"December 30, 2019","1 season, 6 episodes",23 min.,Worldwide,"Pending
"
Cagaster of an Insect Cage,Science fiction,Netflix,"February 6, 2020","1 season, 12 episodes",25–33 min.,Worldwide,"Pending
"
Ghost in the Shell: SAC_2045,Science fiction,Netflix,"April 23, 2020","1 season, 12 episodes",24 min.,Worldwide,Renewed
Japan Sinks: 2020,Science fiction,Netflix,"July 9, 2020","1 season, 10 episodes","TBA
",Worldwide,"Pending
"
Transformers: War for Cybertron - Siege,Science fiction,Netflix,"July 30, 2020","1 season, 6 episodes
","TBA
",Worldwide,"Pending
"
Marseille,Political drama,Netflix,"May 5, 2016","2 seasons, 16 episodes",35–53 min.,Worldwide,Ended
The Hook Up Plan,Romantic comedy,Netflix,"December 7, 2018","2 seasons, 14 episodes",22–29 min.,Worldwide,"Pending
"
Osmosis,Science fiction,Netflix,"March 29, 2019","1 season, 8 episodes",41–45 min.,Worldwide,Ended
Family Business,Comedy,Netflix,"June 28, 2019","1 season, 6 episodes",28–31 min.,Worldwide,Renewed
Marianne,Horror drama,Netflix,"September 13, 2019","1 season, 8 episodes",37–52 min.,Worldwide,Ended
Criminal: France,Police procedural,Netflix,"September 20, 2019","1 season, 3 episodes",38–43 min.,Worldwide,"Pending
"
Mortel,Supernatural,Netflix,"November 21, 2019","1 season, 6 episodes",46–54 min.,Worldwide,Renewed
Vampires,Supernatural drama,Netflix,"March 20, 2020","1 season, 6 episodes",37–44 min.,Worldwide,"Pending
"
Into the Night,Science fiction,Netflix,"May 1, 2020","1 season, 6 episodes",35–40 min.,Worldwide,"Pending
"
Dark,Science fiction,Netflix,"December 1, 2017","2 seasons, 18 episodes",45–61 min.,Worldwide,"Final season due to premiere on June 27, 2020"
Dogs of Berlin,Drama,Netflix,"December 7, 2018","1 season, 10 episodes",51–62 min.,Worldwide,"Ended
"
How to Sell Drugs Online (Fast),Dark comedy,Netflix,"May 31, 2019","1 season, 6 episodes",24–32 min.,Worldwide,"Season 2 due to premiere on July 21, 2020"
Criminal: Germany,Police procedural,Netflix,"September 20, 2019","1 season, 3 episodes",41–46 min.,Worldwide,"Pending
"
Skylines,Drama,Netflix,"September 27, 2019","1 season, 6 episodes",47–66 min.,Worldwide,Ended
We Are the Wave,Drama,Netflix,"November 1, 2019","1 season, 6 episodes",45–53 min.,Worldwide,"Pending
"
Holiday Secrets,Drama,Netflix,"November 20, 2019",3 episodes,34–42 min.,Worldwide,"Miniseries
"
Sacred Games,Drama,Netflix,"July 6, 2018","2 seasons, 16 episodes",43–58 min.,Worldwide,"Pending
"
Ghoul,Horror,Netflix,"August 24, 2018",3 episodes,44–50 min.,Worldwide,"Miniseries
"
Selection Day,Drama,Netflix,"December 28, 2018","1 season, 12 episodes",19–28 min.,Worldwide,Renewed
Delhi Crime,Police procedural,Netflix,"March 22, 2019","1 season, 7 episodes",45–64 min.,Worldwide,Renewed
Leila,Drama,Netflix,"June 14, 2019","1 season, 6 episodes",40–54 min.,Worldwide,"Ended
"
Typewriter,Horror,Netflix,"July 19, 2019","1 season, 5 episodes",43–52 min.,Worldwide,"Pending
"
Bard of Blood,Espionage thriller,Netflix,"September 27, 2019","1 season, 7 episodes",41–50 min.,Worldwide,"Pending
"
Jamtara - Sabka Number Ayega,Crime drama,Netflix,"January 10, 2020","1 season, 10 episodes",23–49 min.,Worldwide,"Pending
"
Taj Mahal 1989,Romantic comedy,Netflix,"February 14, 2020","1 season, 7 episodes",31–36 min.,Worldwide,"Pending
"
She,Crime drama,Netflix,"March 20, 2020","1 season, 7 episodes",31–43 min.,Worldwide,"Pending
"
Hasmukh,Comedy,Netflix,"April 17, 2020","1 season, 10 episodes",29–39 min.,Worldwide,"Pending
"
Betaal,Thriller,Netflix,"May 24, 2020","1 season, 4 episodes",45–49 min.,Worldwide,"Pending
"
Suburra: Blood on Rome,Crime drama,Netflix,"October 6, 2017","2 seasons, 18 episodes",42–62 min.,Worldwide,Renewed for final season
Baby,Drama,Netflix,"November 30, 2018","2 seasons, 12 episodes",40–51 min.,Worldwide,Renewed for final season
Luna Nera,Historical drama,Netflix,"January 31, 2020","1 season, 6 episodes",40–56 min.,Worldwide,"Pending
"
Summertime,Teen drama,Netflix,"April 29, 2020","1 season, 8 episodes",34–54 min.,Worldwide,Renewed
Curon,Supernatural drama,Netflix,"June 10, 2020","1 season, 7 episodes",41–51 min.,Worldwide,"Pending
"
Blazing Transfer Students,Action,Netflix,"November 10, 2017","1 season, 8 episodes",23–28 min.,Worldwide,"Ended
"
Jimmy: The True Story of a True Idiot,Comedy,Netflix,"July 20, 2018","1 season, 9 episodes",39–64 min.,Worldwide,"Ended
"
Switched,Science fiction,Netflix,"August 1, 2018","1 season, 6 episodes",33–44 min.,Worldwide,"Ended
"
The Naked Director,Period drama,Netflix,"August 8, 2019","1 season, 8 episodes",39–54 min.,Worldwide,Renewed
Followers,Drama,Netflix,"February 27, 2020","1 season, 9 episodes",33–46 min.,Worldwide,"Pending
"
The Forest of Love: Deep Cut,Drama,Netflix,"April 30, 2020",7 episodes,31–51 min.,Worldwide,"Miniseries
"
JU-ON: Origins,Horror,Netflix,"July 3, 2020","TBA
","TBA
",Worldwide,"Pending
"
My Only Love Song,Comedy,Netflix,"June 9, 2017","1 season, 20 episodes",27–30 min.,Worldwide,"Ended
"
YG Future Strategy Office,Comedy,Netflix,"October 5, 2018","1 season, 8 episodes",20–29 min.,Worldwide,"Ended
"
Kingdom,Fantasy,Netflix,"January 25, 2019","2 seasons, 12 episodes",36–57 min.,Worldwide,"Pending
"
Persona,Drama,Netflix,"April 11, 2019","1 season, 4 episodes",19–27 min.,Worldwide,Renewed
My First First Love,Romantic comedy,Netflix,"April 18, 2019","2 seasons, 16 episodes",42–56 min.,Worldwide,"Pending
"
Love Alarm,Romantic comedy,Netflix,"August 22, 2019","1 season, 8 episodes",42–56 min.,Worldwide,Renewed
My Holo Love,Science fiction,Netflix,"February 7, 2020",12 episodes,49–57 min.,Worldwide,"Miniseries
"
Extracurricular,Teen,Netflix,"April 29, 2020","1 season, 10 episodes",44–72 min.,Worldwide,"Pending
"
Nowhere Man,Thriller,Netflix,"October 31, 2019","1 season, 8 episodes",33–67 min.,Worldwide,"Pending
"
Triad Princess,Crime drama,Netflix,"December 6, 2019","1 season, 6 episodes",35–47 min.,Worldwide,"Pending
"
The Ghost Bride,Mystery drama,Netflix,"January 23, 2020","1 volume, 6 episodes",48–57 min.,Worldwide,"Pending
"
The Victims' Game,Thriller,Netflix,"April 30, 2020","1 season, 8 episodes",62–67 min.,Worldwide,"Pending
"
Home for Christmas,Comedy drama,Netflix,"December 5, 2019","1 season, 6 episodes",27–32 min.,Worldwide,"Pending
"
Ragnarok,Fantasy,Netflix,"January 31, 2020","1 season, 6 episodes",40–48 min.,Worldwide,Renewed
Bloodride,Horror,Netflix,"March 13, 2020","1 season, 6 episodes",27–33 min.,Worldwide,"Pending
"
